genes EntrezGene logFC logCPM LR PValue FDR
ENSG00000042832.11 ENSG00000042832.11 TG -4.37633859881326 5.25461858093953 52.0881849635995 5.30632485085046e-13 1.73983779209685e-08
ENSG00000233705.6 ENSG00000233705.6 SLC26A4-AS1 -3.64865968913034 -1.16894576810647 37.4368471417612 9.44213080874385e-10 1.54794292478547e-05
ENSG00000115705.20 ENSG00000115705.20 TPO -2.5421930831979 2.31409969922877 35.481163958502 2.57528921147235e-09 2.81461942219184e-05
ENSG00000204632.11 ENSG00000204632.11 HLA-G -1.49806444799042 0.555226787271391 33.9946477466386 5.52638821848842e-09 4.30568348835094e-05
ENSG00000165409.16 ENSG00000165409.16 TSHR -2.54678002350195 -0.802315092624479 33.6593227197883 6.56594407763654e-09 4.30568348835094e-05
ENSG00000198650.10 ENSG00000198650.10 TAT -1.99073846809935 -1.19545020730006 32.2544552648659 1.35246615654662e-08 6.42001147116049e-05
ENSG00000257017.8 ENSG00000257017.8 HP -1.96101223792317 1.71657263913473 32.2285400375782 1.37062584781394e-08 6.42001147116049e-05
ENSG00000144820.7 ENSG00000144820.7 ADGRG7 5.409260644169 -0.92986709205452 30.5994623486443 3.1718162792842e-08 0.000127791893322567
ENSG00000136352.17 ENSG00000136352.17 NKX2-1 -3.86860571704188 -1.35028803579593 30.4041505245754 3.50776820758539e-08 0.000127791893322567
ENSG00000229415.9 ENSG00000229415.9 SFTA3 -3.64490078681696 -2.16985711386146 28.9079451732563 7.59009399157096e-08 0.000248864001795629
ENSG00000233695.2 ENSG00000233695.2 GAS6-AS1 0.913795054726964 2.21980521811392 28.5374490454569 9.19036294924045e-08 0.00024902963274135
ENSG00000178919.8 ENSG00000178919.8 FOXE1 -3.09121702432852 -1.48523660003292 28.4073014788969 9.82938938941806e-08 0.00024902963274135
ENSG00000211452.10 ENSG00000211452.10 DIO1 -2.29924077656116 -1.83470617147788 28.3985959448411 9.87368923276062e-08 0.00024902963274135
ENSG00000113905.4 ENSG00000113905.4 HRG -2.5387641684901 -2.54134848513497 27.0717615384491 1.96040826997536e-07 0.000450159068067539
ENSG00000237973.1 ENSG00000237973.1 MTCO1P12 -1.85986283245968 5.22747828341715 26.9765316368437 2.05940771654663e-07 0.000450159068067539
ENSG00000009765.14 ENSG00000009765.14 IYD -2.29574585678855 0.565420705174316 26.4886069438463 2.65096981750027e-07 0.000543249989851242
ENSG00000143502.14 ENSG00000143502.14 SUSD4 0.729176533665595 3.03203266834799 26.1540837500339 3.15229729989485e-07 0.000607985434523248
ENSG00000166589.12 ENSG00000166589.12 CDH16 -3.02835191243026 -2.72976797198022 24.9205650170918 5.97417274632289e-07 0.00108822875559131
ENSG00000176563.9 ENSG00000176563.9 CNTD1 -0.980196417705232 1.23392214726747 24.2299313013028 8.54932667135627e-07 0.0014753438047391
ENSG00000122194.18 ENSG00000122194.18 PLG -1.99383824629815 -2.27169061016353 23.5669635540651 1.20641120721229e-06 0.00197779053310384
ENSG00000228397.2 ENSG00000228397.2 LINC01635 2.1052072724873 -0.43602793396179 23.2737084752745 1.4050765076722e-06 0.002146903267351
ENSG00000081479.12 ENSG00000081479.12 LRP2 -2.91025038340351 -2.16367253466145 23.2257923634443 1.44052311460662e-06 0.002146903267351
ENSG00000110245.11 ENSG00000110245.11 APOC3 -1.83737995161034 -0.956532438446036 22.3817887839952 2.23483096878372e-06 0.00318589729584699
ENSG00000211766.1 ENSG00000211766.1 TRBJ2-2P -5.54161320367479 -2.89361891200768 22.1798488388827 2.48265906178242e-06 0.00326768471687146
ENSG00000021461.16 ENSG00000021461.16 CYP3A43 2.26672879377533 1.28356265460403 22.1730049262626 2.49152488476841e-06 0.00326768471687146
ENSG00000198099.8 ENSG00000198099.8 ADH4 -1.54815685808825 -2.51194327960373 21.9523884848627 2.79498834274858e-06 0.00342167505079896
ENSG00000117601.13 ENSG00000117601.13 SERPINC1 -1.58064794490951 -1.75423448154021 21.9368884958546 2.81765360411041e-06 0.00342167505079896
ENSG00000113889.11 ENSG00000113889.11 KNG1 -1.77452679057358 -2.60476922400451 21.7256678459037 3.14554242198731e-06 0.00368343017614714
ENSG00000116014.9 ENSG00000116014.9 KISS1R -2.94198024373899 1.32467321502611 21.6203438968228 3.32308369611591e-06 0.00375714718028443
ENSG00000133636.10 ENSG00000133636.10 NTS -2.55661041112062 -2.48206920992694 21.501955536617 3.53468027187517e-06 0.00383540152037266
ENSG00000140254.12 ENSG00000140254.12 DUOXA1 -1.52719745196259 -1.40331718059727 21.4529120763256 3.62624884505162e-06 0.00383540152037266
ENSG00000225093.1 ENSG00000225093.1 RPL3P7 -1.26333502465361 0.177598171436109 21.2213294735818 4.09185435384616e-06 0.00419261626730962
