,binned
GTEX.11EQ9.1026.SM.5H134,"(0, 10]"
GTEX.11GSP.0426.SM.5A5KX,"(0, 10]"
GTEX.11TT1.0326.SM.5LUAY,"(0, 10]"
GTEX.12WSD.1626.SM.5GCNR,"(0, 10]"
GTEX.12WSG.1026.SM.5EGII,"(0, 10]"
GTEX.12WSL.0426.SM.5GCNX,"(10, 80]"
GTEX.131XE.1926.SM.5IFER,"(0, 10]"
GTEX.132AR.1826.SM.5EGHR,"(0, 10]"
GTEX.1399R.0426.SM.5IJE3,"(10, 80]"
GTEX.139YR.1526.SM.5IFJ1,"(0, 10]"
GTEX.13FLV.0626.SM.5IFEY,"(0, 10]"
GTEX.13FTW.0526.SM.5IFIP,"(10, 80]"
GTEX.13N11.0226.SM.5KM3C,"(0, 10]"
GTEX.13O1R.1826.SM.5KM3B,"(10, 80]"
GTEX.13PVR.0726.SM.5S2PX,"(10, 80]"
GTEX.13SLX.1326.SM.5S2QS,"(0, 10]"
GTEX.144GM.0726.SM.79OJQ,"(0, 10]"
GTEX.145MO.2126.SM.5Q5CZ,"(10, 80]"
GTEX.148VI.0826.SM.5TDDI,"(10, 80]"
GTEX.1497J.0426.SM.5Q5CO,"(10, 80]"
GTEX.14AS3.0326.SM.5Q5DB,"(0, 10]"
GTEX.14PHX.2026.SM.6872C,"(10, 80]"
GTEX.14PJO.1826.SM.69LPR,"(0, 10]"
GTEX.15DYW.1626.SM.6LLI1,"(0, 10]"
GTEX.15ER7.1326.SM.6LPK9,"(0, 10]"
GTEX.15RJ7.0826.SM.6LLI8,"(10, 80]"
GTEX.17HGU.2026.SM.79OKS,"(10, 80]"
GTEX.17HHE.0526.SM.7DUGR,"(0, 10]"
GTEX.17MF6.1426.SM.7IGOX,"(0, 10]"
GTEX.18A66.2126.SM.7189D,"(0, 10]"
GTEX.18A6Q.1726.SM.7LT9A,"(10, 80]"
GTEX.18A7A.1726.SM.7LT93,"(0, 10]"
GTEX.1A8FM.1826.SM.7MGXO,"(10, 80]"
GTEX.1AMFI.0726.SM.731D9,"(10, 80]"
GTEX.1AX8Z.1726.SM.731DE,"(10, 80]"
GTEX.1B932.1626.SM.731EA,"(0, 10]"
GTEX.1B933.1726.SM.731FC,"(10, 80]"
GTEX.1B996.1326.SM.731EO,"(0, 10]"
GTEX.1C6VQ.1726.SM.7IGLQ,"(10, 80]"
GTEX.1CAMQ.1626.SM.7MGXG,"(0, 10]"
GTEX.1CB4F.1226.SM.7DHKU,"(10, 80]"
GTEX.1GF9X.1126.SM.7MKHC,"(10, 80]"
GTEX.1GN1U.1126.SM.9WPPZ,"(10, 80]"
GTEX.1H11D.0926.SM.9OSXO,"(10, 80]"
GTEX.1H23P.2026.SM.9OSXY,"(0, 10]"
GTEX.1J8EW.1926.SM.CGQGR,"(10, 80]"
GTEX.1K9T9.1726.SM.CXZK1,"(0, 10]"
GTEX.1QPFJ.2226.SM.EXOJW,"(10, 80]"
GTEX.O5YT.1026.SM.3MJGF,"(0, 10]"
GTEX.OIZF.1026.SM.2HML5,"(10, 80]"
GTEX.OOBJ.1026.SM.3NB2L,"(0, 10]"
GTEX.PX3G.1026.SM.48TZW,"(0, 10]"
GTEX.Q734.0426.SM.48TZX,"(0, 10]"
GTEX.QDVN.0926.SM.2I5GL,"(10, 80]"
GTEX.QEL4.1326.SM.447AD,"(0, 10]"
GTEX.QESD.0226.SM.447BH,"(0, 10]"
GTEX.QV44.0426.SM.4R1KF,"(10, 80]"
GTEX.R53T.0426.SM.48FEM,"(0, 10]"
GTEX.RM2N.0326.SM.48FD8,"(10, 80]"
GTEX.S32W.0826.SM.4AD5Z,"(10, 80]"
GTEX.S33H.1226.SM.4AD69,"(10, 80]"
GTEX.TKQ2.0426.SM.4DXUO,"(10, 80]"
GTEX.U8XE.2026.SM.3DB8S,"(10, 80]"
GTEX.VUSG.0326.SM.3GIJ7,"(10, 80]"
GTEX.WFON.0626.SM.4LVLX,"(10, 80]"
GTEX.WQUQ.2126.SM.4OOSO,"(10, 80]"
GTEX.WY7C.1026.SM.4OND3,"(10, 80]"
GTEX.WYVS.0926.SM.4SOJV,"(10, 80]"
GTEX.X3Y1.0726.SM.3P5YU,"(10, 80]"
GTEX.XXEK.1726.SM.4BRVB,"(0, 10]"
GTEX.Y5LM.0526.SM.4V6G3,"(10, 80]"
GTEX.YB5E.0526.SM.4VDSD,"(0, 10]"
GTEX.YEC4.1326.SM.5IFHG,"(10, 80]"
GTEX.ZAB4.1726.SM.5HL8C,"(0, 10]"
GTEX.ZAB5.0826.SM.5P9FU,"(10, 80]"
GTEX.ZEX8.1026.SM.4WKHE,"(10, 80]"
GTEX.ZF29.1126.SM.4WKGO,"(10, 80]"
GTEX.ZPU1.0226.SM.4WWC9,"(10, 80]"
GTEX.ZTPG.1026.SM.5DUWP,"(0, 10]"
GTEX.ZVP2.0726.SM.59HKY,"(0, 10]"
GTEX.ZYT6.1326.SM.5E453,"(0, 10]"
GTEX.ZYY3.0826.SM.5E44R,"(10, 80]"
