Term Overlap P.value Adjusted.P.value Old.P.value Old.Adjusted.P.value Odds.Ratio Combined.Score Genes
"Thyroid hormone synthesis" 7/74 4.69968209532578e-07 0.000144750208536034 0 0 14.7804054054054 215.359386585212 TPO;TG;CREB3L3;PAX8;IYD;LRP2;TSHR
"Cholesterol metabolism 6/50" 0/1 7.70564524963434e-07 0.000118666936844369 0 0 18.75 263.927670776591 APOC1;APOA2;APOA1;APOC3;LRP2;APOB
"Complement and coagulation cascades" 6/79 1.15848353977222e-05 0.00118937643416614 0 0 11.8670886075949 134.879117188352 F9;SERPINC1;C9;PLG;F2;KNG1
"Glycine, serine and threonine metabolism" 4/40 0.000122365824557351 0.00942216849091604 0 0 15.625 140.757741218836 BHMT;CTH;PHGDH;AGXT
"Fat digestion and absorption" 4/41 0.000134926123761087 0.00831144922368299 0 0 15.2439024390244 135.835109157179 FABP1;PLA2G2A;APOA1;APOB
"Cysteine and methionine metabolism" 4/47 0.000230704068038595 0.0118428088259812 0 0 13.2978723404255 111.361366482483 BHMT;TAT;CTH;MAT1A
"Autoimmune thyroid disease" 4/53 0.000367703385909444 0.0161789489800155 0 0 11.7924528301887 93.2574759593368 TPO;TG;HLA-G;TSHR
"Retinol metabolism" 4/67 0.000898351379278664 0.0345865281022286 0 0 9.32835820895522 65.4379596570916 ADH4;CYP2A6;HSD17B6;CYP3A4
"PPAR signaling pathway" 4/74 0.0013029754555764 0.0445907155908367 0 0 8.44594594594595 56.1073042050087 FABP1;APOA2;APOA1;APOC3
"Neuroactive ligand-receptor interaction" 8/338 0.00151297815002599 0.0465997270208004 0 0 3.69822485207101 24.0150713231138 KISS1R;PRLHR;PLG;NTS;F2;KNG1;TSHR;GRIA4
"Tyrosine metabolism" 3/36 0.0015667534248264 0.0438690958951391 0 0 13.0208333333333 84.0983031630045 ADH4;TPO;TAT
"African trypanosomiasis" 3/37 0.00169707774128901 0.0435583286930846 0 0 12.6689189189189 80.8131015553172 APOA1;HPR;KNG1
"Chemical carcinogenesis" 4/82 0.00190437497709204 0.045119037918796 0 0 7.6219512195122 47.7408644836389 ADH4;CYP2A6;CYP3A43;CYP3A4
