,Fat%,PLA2G2A,CTH,PHGDH,APOA2,SERPINC1,TPO,APOB,FABP1,PAX8,LRP2,AGXT,KNG1,ADH4,C9,BHMT,HLA-G,IYD,PLG,CYP3A4,CYP3A43,TG,MAT1A,PRLHR,F2,GRIA4,APOC3,APOA1,HSD17B6,NTS,TSHR,TAT,HPR,KISS1R,CREB3L3,CYP2A6,APOC1,F9
2,2.620379558,139,215,8304,8,14,40,33,9,85,0,11,6,12,4,13,39,27,8,30,8,253,999,6,10,16,30,32,10,10,7,29,3,39,12,3,68,4
54,3.3100374560000003,47,277,5947,12,13,2,31,15,36,0,10,10,6,5,1,161,6,11,5,13,30,2236,6,3,16,17,15,8,0,8,6,1,4,5,3,90,2
31,3.322570967,71,281,3416,0,2,1459,2,7,3,2,0,5,4,0,6,268,79,0,6,18,73,6222,8,1,104,0,3,6,4,7,3,0,1,3,0,34,0
53,3.611793193,247,193,3697,15,14,32,43,28,13,0,7,5,11,0,7,46,23,18,14,29,2,4694,12,6,26,17,41,7,8,3,8,2,4,18,3,208,1
77,3.6265483410000003,477,4824,15517,7,14,45,13,15,62,2,0,0,6,0,15,24,24,3,2,0,95,1179,36,6,26,5,24,18,0,8,11,4,1240,2,0,40,0
76,3.6265483410000003,477,4824,15517,7,14,45,13,15,62,2,0,0,6,0,15,24,24,3,2,0,95,1179,36,6,26,5,24,18,0,8,11,4,1240,2,0,40,0
16,3.672289853,148,1146,2670,3,3,26,10,0,12,8,1,0,0,0,1,25,17,2,13,2,127,4450,0,0,18,3,7,10,2,4,21,0,113,20,4,14,0
48,3.858661984,971,444,4916,28,17,100,131,31,139,1,14,13,21,7,26,106,17,24,503,120,193,3611,6,8,50,23,34,24,10,18,29,13,13,63,6,71,5
20,3.924384242,107,173,3362,4,8,24,25,10,80,0,6,2,5,4,3,35,17,7,1679,440,91,1893,32,2,64,22,15,6,4,13,8,1,14,6,10,82,2
46,3.981223809,11272,497,2985,6,6,20,25,8,18,10,8,8,2,2,15,32,0,2,25,16,50,12925,24,0,57,10,18,21,552,6,18,0,15,59,3,118,0
89,4.145549003999999,211,1005,11373,21,5,19,18,9,11,0,10,7,18,2,13,69,7,2,24,11,83,1797,24,7,113,38,42,8,0,7,22,2,69,6,13,122,0
1,5.116666197,43,831,6301,4,4,37,12,10,37,8,2,3,0,6,5,142,18,0,4,3,263,7357,2,0,22,13,5,4,0,4,2,2,4,1,1,37,0
22,5.224973341,187,363,3867,4,9,155,26,2,48,1,4,0,0,0,9,16,11,3,453,100,87,3498,6,0,63,42,50,6,2,1,10,8,5,0,1,29,0
79,5.232720718,2120,361,2831,0,7,331,38,56,172,4,4,0,5,0,16,137,80,0,1067,235,1277,2043,12,5,47,0,14,3,2,29,19,491,16,10,7,76,0
